"OBJECTID","Eradication ID","Common Name","Scientific Name","Type (Animal)","Year of Introduction","Data Quality","Eradication Start Date","Eradication End Date","Status (Eradication)","Type (Eradication)","Primary Eradication Method","Secondary Eradication Method","Tertiary Eradication Method","Primary Baiting Method","Secondary Baiting Method","Primary Toxicant","Secondary Toxicant","Contact Name","Contact Organization","Organization_Website","Island Code","Island Name","Region","Country","Archipelago","Latitude","Longitude","Area (sq km)","Human Population"
"1231","1961","House Mouse","Mus musculus","Rodent","null","Satisfactory","null","2000","Failed","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Climo; G.","Island Owner","null","19656","Denis","Indian Ocean - West","Seychelles","Seychelles","-3.80519850786","55.6669783","1.27633287849","101 - 1000"
"1232","1962","House Mouse","Mus musculus","Rodent","null","Satisfactory","2005","2005","Failed","Whole Island","Toxicant","NA","NA","Hand Broadcast","Bait Station","Brodifacoum","NA","Dervaux; Antoine","Department of Conservation of Natural Heritage  French Southern and Antarctic Lands","null","15372","Tromelin","Indian Ocean - West","French Southern Territories","îles Éparses","-15.89166704","54.52304526","0.881645806458","1 - 10"
"1233","1963","House Mouse","Mus musculus","Rodent","null","Poor","2009","2009","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Broome; Keith","NZ Dept. of Conservation","null","26909","Quail","Pacific Ocean - South West","New Zealand","Canterbury Islands","-43.6284508957","172.69097023","0.825845439277","None"
"1234","1964","House Mouse","Mus musculus","Rodent","null","Good","2002","2002","Failed","Whole Island","Toxicant","NA","NA","Bait Station","Hand Broadcast","Brodifacoum","NA","Broome; Keith","NZ Dept. of Conservation","null","26909","Quail","Pacific Ocean - South West","New Zealand","Canterbury Islands","-43.6284508957","172.69097023","0.825845439277","None"
"1235","1967","House Mouse","Mus musculus","Rodent","null","Good","2005","2005","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Broome; Keith","NZ Dept. of Conservation","null","26946","Ohinau (Ohina)","Pacific Ocean - South West","New Zealand","Coromandel Islands","-36.7284394439","175.88120048","0.564449746702","None"
"1236","1968","House Mouse","Mus musculus","Rodent","null","Satisfactory","2009","2009","Successful","Whole Island","Toxicant","Trapping","NA","Bait Station","Hand Broadcast","Brodifacoum","Diphacinone","null","null","null","352141","Cocos","Pacific Ocean - North West","Guam","Mariana Islands","13.2379128339","144.65151321","0.311482057459","None"
"1237","1971","House Mouse","Mus musculus","Rodent","null","Satisfactory","2011","2011","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Island Conservation","Island Conservation","www.islandconservation.org","362269","Plaza Norte","Pacific Ocean - North East","Ecuador","Galapagos Islands","-0.580049411775","-90.1612552352","0.0870565545549","None"
"1238","1972","House Mouse","Mus musculus","Rodent","null","Satisfactory","1991","1991","Failed","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","Broome; Keith","NZ Dept. of Conservation","null","30629","Haulashore","Pacific Ocean - South West","New Zealand","Nelson Islands","-41.2673048771","173.25748778","0.115958777792","None"
"1239","1973","House Mouse","Mus musculus","Rodent","null","Satisfactory","null","2006","Failed","Whole Island","Toxicant","NA","NA","Bait Station","Hand Broadcast","Pindone","NA","Broome; Keith","NZ Dept. of Conservation","null","26947","Hokianga","Pacific Ocean - South West","New Zealand","Ohiwa Harbour","-38.0197879432","177.13418534","0.193115982261","None"
"1240","1976","House Mouse","Mus musculus","Rodent","null","Poor","null","null","Successful","Whole Island","Toxicant","NA","NA","Unknown","NA","Brodifacoum","NA","Broome; Keith","NZ Dept. of Conservation","null","88888084","Rabbit","Pacific Ocean - South West","New Zealand","Whangarei Harbour","-35.7914583855","174.347035418","0.0959140783688","None"
"1241","1977","House Mouse","Mus musculus","Rodent","null","Satisfactory","2003","2003","Failed","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Dervaux; Antoine","Department of Conservation of Natural Heritage  French Southern and Antarctic Lands","null","15108","Stoll","Atlantic Ocean - South","French Southern Territories","Kerguelen Islands (Golfe du Morbihan)","-49.4564889523","69.89033055","0.56984291586","None"
"1242","1979","Polynesian Rat","Rattus exulans","Rodent","null","Satisfactory","2011","2011","Failed","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","RSPB","Royal Society for the Protect of the Birds","http://www.rspb.org.uk","358132","Henderson  ","Pacific Ocean - South East","Pitcairn","Pitcairn Islands","-24.3768189896","-128.322894292","42.9889435504","None"
"1243","1980","Polynesian Rat","Rattus exulans","Rodent","null","Good","2011","2011","Failed","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","null","null","null","352271","Enderbury","Pacific Ocean - South East","Kiribati","Phoenix Islands","-3.12728766231","-171.084979629","6.10408269888","None"
"1244","1981","Black Rat","Rattus rattus","Rodent","null","Satisfactory","2008","2008","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Hand Broadcast","NA","Brodifacoum","NA","null","null","null","358805","Tiarao","Pacific Ocean - South East","French Polynesia","Tuamotu Archipelago (Rangiroa)","-15.2057553312","-147.800287702","0.0419327659139","None"
"1245","1982","Polynesian Rat","Rattus exulans","Rodent","null","Good","2005","2005","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Beaven; Brent","null","null","24030","Pearl","Pacific Ocean - South West","New Zealand","Stewart Islands","-47.1918178773","167.70735682","5.11450897511","None"
"1246","1983","Polynesian Rat","Rattus exulans","Rodent","null","Satisfactory","2005","2006","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Broome; Keith","NZ Dept. of Conservation","null","358107","Macauley","Pacific Ocean - South East","New Zealand","Kermadec Islands","-30.2321693774","-178.429393328","2.2839348198","None"
"1247","1984","Polynesian Rat","Rattus exulans","Rodent","null","Satisfactory","2005","2005","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Broome; Keith","NZ Dept. of Conservation","null","24042","Bench","Pacific Ocean - South West","New Zealand","Stewart Islands","-46.9093499399","168.23980521","1.74914059671","None"
"1248","1985","Polynesian Rat","Rattus exulans","Rodent","null","Good","2010","2010","Trial or Research only","Whole Island","Trapping","NA","NA","NA","NA","NA","NA","null","null","null","364628","Tetiaroa Atoll (Honuea)","Pacific Ocean - South East","French Polynesia","Society Islands","-17.0092636132","-149.584987789","0.2742411574","None"
"1249","1986","Polynesian Rat","Rattus exulans","Rodent","null","Good","2009","2009","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Broome; Keith","NZ Dept. of Conservation","null","459035","Moturua","Pacific Ocean - South West","New Zealand","Bay of Islands","-35.2236003983","174.190951381","1.68544311129","None"
"1250","1987","Polynesian Rat","Rattus exulans","Rodent","null","Good","2007","2007","Successful","Whole Island","Toxicant","NA","NA","Hand Broadcast","Other","Brodifacoum","NA","null","null","null","346359","Dekehtik","Pacific Ocean - North West","Micronesia Federated States of","Pohnpei","6.84836937377","158.34813931","0.0247435173483","None"
"1251","1988","Polynesian Rat","Rattus exulans","Rodent","null","Good","null","2008","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","null","null","null","352122","Qelelevu (Naqelelevu)","Pacific Ocean - South East","Fiji","Ringgold Islands (Qelelevu)","-16.0898940218","-179.161006433","1.45954694603","Unknown"
"1252","1989","Polynesian Rat","Rattus exulans","Rodent","null","Satisfactory","null","2007","Trial or Research only","Whole Island","Toxicant","NA","NA","Hand Broadcast","NA","Brodifacoum","NA","null","null","null","459246","Vahanga","Pacific Ocean - South East","French Polynesia","Tuamotu Archipelago","-21.3328029727","-136.651637617","3.86083930738","None"
"1253","1991","Polynesian Rat","Rattus exulans","Rodent","null","Poor","2009","2009","Failed","Whole Island","Toxicant","NA","NA","Aerial Broadcast","Hand Broadcast","Brodifacoum","NA","null","null","null","355617","Nu'utele","Pacific Ocean - South East","Samoa","Samoan Islands (Western (Aleipata Islands))","-14.0633339","-171.422821749","1.08136814806","None"
"1254","1993","Polynesian Rat","Rattus exulans","Rodent","null","Good","2005","2005","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","Hand Broadcast","Brodifacoum","NA","Broome; Keith","NZ Dept. of Conservation","null","26946","Ohinau (Ohina)","Pacific Ocean - South West","New Zealand","Coromandel Islands","-36.7284394439","175.88120048","0.564449746702","None"
"1255","1994","Polynesian Rat","Rattus exulans","Rodent","null","Good","2009","2009","Failed","Whole Island","Toxicant","NA","NA","Hand Broadcast","NA","Brodifacoum","NA","null","null","null","345359","Fanna","Pacific Ocean - North West","Palau","Southwest Islands","5.35444037177","132.22760898","0.495119666758","None"
"1256","1995","Polynesian Rat","Rattus exulans","Rodent","null","Good","2011","2011","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","Hand Broadcast","Brodifacoum","NA","null","null","null","352270","Birnie","Pacific Ocean - South East","Kiribati","Phoenix Islands","-3.58453548365","-171.516862786","0.505801154651","None"
"1257","1996","Polynesian Rat","Rattus exulans","Rodent","null","Satisfactory","2009","2009","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","Hand Broadcast","Brodifacoum","NA","null","null","null","355636","Nu'ulua","Pacific Ocean - South East","Samoa","Samoan Islands (Western (Aleipata Islands))","-14.0729541768","-171.410242469","0.250047219046","None"
"1258","1997","Polynesian Rat","Rattus exulans","Rodent","null","Satisfactory","2019","null","Planned","Whole Island","Toxicant","Unknown","Unknown","Aerial Broadcast","Unknown","Brodifacoum","Unknown","Cranwell; Steve","Birdlife Pacific","null","365135","Motu Oa","Pacific Ocean - South East","French Polynesia","Marquesas (Ua Pou group)","-9.47968351268","-140.047020579","0.367055361508","None"
"1259","1998","Polynesian Rat","Rattus exulans","Rodent","null","Good","null","2008","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","null","null","null","352124","Tauraria","Pacific Ocean - South East","Fiji","Ringgold Islands (Qelelevu)","-16.0824377131","-179.180423067","0.140319822874","None"
"1260","1999","Polynesian Rat","Rattus exulans","Rodent","null","Good","null","2008","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","null","null","null","352121","Nukubasaga","Pacific Ocean - South East","Fiji","Ringgold Islands","-16.3024873131","-179.25211761","0.214993245892","None"
"1261","2000","Polynesian Rat","Rattus exulans","Rodent","null","Good","2009","2009","Failed","Whole Island","Toxicant","NA","NA","Bait Station","Hand Broadcast","Brodifacoum","NA","null","null","null","359790","Onetahi","Pacific Ocean - South East","French Polynesia","Society Islands","-17.0186366976","-149.591256275","0.721688984121","None"
"1262","2001","Polynesian Rat","Rattus exulans","Rodent","null","Poor","null","2002","Unknown","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","null","null","null","354488","Taula","Pacific Ocean - South East","Tonga","Vava'u group (Otu Motu Lalo)","-18.8475328377","-174.010699146","0.0681161512336","None"
"1263","2002","Polynesian Rat","Rattus exulans","Rodent","null","Good","null","2008","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","null","null","null","352108","Nukusemanu","Pacific Ocean - South East","Fiji","Ringgold Islands","-16.3342790894","-179.417587387","0.0211052153603","None"
"1264","2003","Polynesian Rat","Rattus exulans","Rodent","null","Satisfactory","null","2002","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","null","null","null","360507","Maninita","Pacific Ocean - South East","Tonga","Vava'u group (Otu Motu Lalo)","-18.857360963","-173.995359054","0.0568619787562","None"
"1265","2004","Polynesian Rat","Rattus exulans","Rodent","null","Good","null","2008","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","null","null","null","352123","Tuinibeka","Pacific Ocean - South East","Fiji","Ringgold Islands (Qelelevu)","-16.0837406607","-179.167575098","0.0350345266889","None"
"1266","2006","Polynesian Rat","Rattus exulans","Rodent","null","Good","2008","2008","Successful","Whole Island","Toxicant","NA","NA","Hand Broadcast","Bait Station","Brodifacoum","NA","Pascal; Michel","Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu","null","334586","Double","Pacific Ocean - South West","New Caledonia","New Caledonia Islands","-20.4676360846","164.12851277","0.0936560808456","None"
"1267","2007","Polynesian Rat","Rattus exulans","Rodent","null","Good","2008","2008","Successful","Whole Island","Toxicant","NA","NA","Hand Broadcast","Bait Station","Brodifacoum","NA","Pascal; Michel","Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu","null","334587","Tiam'bouene","Pacific Ocean - South West","New Caledonia","New Caledonia Islands","-20.4054580982","164.03617722","0.217366015259","None"
"1268","2008","Polynesian Rat","Rattus exulans","Rodent","null","Satisfactory","2019","null","Planned","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Unknown","NA","null","null","null","364900","Hatu Iti (Motu Iti)","Pacific Ocean - South East","French Polynesia","Marquesas","-8.6763289018","-140.618130297","0.13579762848","None"
"1269","2009","Polynesian Rat","Rattus exulans","Rodent","null","Good","null","2008","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","null","null","null","352120","Nukupureti","Pacific Ocean - South East","Fiji","Ringgold Islands","-16.3101806704","-179.268727547","0.0408986355771","None"
"1270","2010","Polynesian Rat","Rattus exulans","Rodent","null","Good","null","2008","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","null","null","null","352125","Vetauua (Korotuna)","Pacific Ocean - South East","Fiji","Ringgold Islands","-15.9523916231","-179.408383736","0.416247148672","None"
"1271","2011","Polynesian Rat","Rattus exulans","Rodent","null","Poor","2002","2002","To Be Confirmed","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","null","null","null","354489","Lua Loli","Pacific Ocean - South East","Tonga","Vava'u group","-18.8375625945","-174.010046204","0.00688892805044","None"
"1278","2023","Black Rat","Rattus rattus","Rodent","null","Poor","null","null","Successful","Whole Island","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","null","null","null","110000301","Logie (Lougie)","Pacific Ocean - North East","Ecuador","Galapagos Islands","-0.254561722261","-90.5777081345","0.00294445571387","None"
"1284","2040","House Mouse","Mus musculus","Rodent","null","Good","null","1996","Failed","Whole Island","Toxicant","NA","NA","Bait Station","Aerial Broadcast","Brodifacoum","NA","null","null","null","36464","Deserta Grande","Atlantic Ocean - North","Portugal","Madeira Islands (Desertas Islands)","32.5290722087","-16.5156633701","10.1686977479","Unknown"
"1287","2047","Black Rat","Rattus rattus","Rodent","null","Poor","1980","null","Failed","Whole Island","Toxicant","NA","NA","Unknown","NA","Brodifacoum","Coumatetralyl","null","null","null","356534","Cousin Rock","Pacific Ocean - North East","Ecuador","Galapagos Islands","-0.235563126649","-90.574580039","0.00737600685496","None"
"1288","2055","Polynesian Rat","Rattus exulans","Rodent","null","Good","2011","2012","Failed","Whole Island","Toxicant","NA","NA","Hand Broadcast","Bait Station","Brodifacoum","NA","Cranwell; Steve","Birdlife Pacific","null","350251","Kayangel","Pacific Ocean - North West","Palau","Kayangel Atoll","8.08318920812","134.71777083","1.26162656659","101 - 1000"
"1289","2062","House Mouse","Mus musculus","Rodent","null","Satisfactory","null","1980","Failed","Whole Island","Toxicant","NA","NA","Unknown","NA","Brodifacoum","Coumatetralyl","null","null","null","463610","Venecia","Pacific Ocean - North East","Ecuador","Galapagos Islands","-0.518408856639","-90.4757509","0.158747200694","None"
"1290","2074","House Mouse","Mus musculus","Rodent","null","Good","1996","1996","Failed","Whole Island","Toxicant","NA","NA","Bait Station","Hand Broadcast","Brodifacoum","NA","Merton; D.","NZ Dept. of Conservation","pestoff.co.nz","19662","Bird","Indian Ocean - West","Seychelles","Seychelles","-3.71938816202","55.20568274","0.990884741216","11 - 100"
"1291","2096","Black Rat","Rattus rattus","Rodent","null","Poor","2010","2011","Failed","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Diphacinone","NA","null","null","null","107387","Nishijima","Pacific Ocean - North West","Japan","Ogasawara Islands (Chichijima Group)","27.1171384177","142.16686146","0.483599277276","None"
"1292","2098","Black Rat","Rattus rattus","Rodent","null","Good","2001","2001","Unknown pre-status","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Burbidge; A.A.","Department of Conservation and Land Management; Aus","null","331672","South East","Indian Ocean - East","Australia","Western Australia (Montebello Islands)","-20.4241330838","115.59122963","0.149479429672","None"
"1294","2101","Polynesian Rat","Rattus exulans","Rodent","null","Good","2012","2012","Failed","Whole Island","Toxicant","NA","NA","Aerial Broadcast","Hand Broadcast","Brodifacoum","NA","Island Conservation","Island Conservation","www.islandconservation.org","457757","Wake ","Pacific Ocean - North West","United States Minor Outlying Islands","Wake Atoll (Wake Wilkes"," Peale)","19.2883344901","166.64218443","5.47671712083","101 - 1000"
"1295","2102","Asian House Rat","Rattus tanezumi","Rodent","null","Good","2012","2012","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","Hand Broadcast","Brodifacoum","NA","Island Conservation","Island Conservation","www.islandconservation.org","457757","Wake ","Pacific Ocean - North West","United States Minor Outlying Islands","Wake Atoll (Wake Wilkes"," Peale)","19.2883344901","166.64218443","5.47671712083","101 - 1000"
"1296","2107","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Good","2011","2011","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","Parks Canada","Parks Canada","null","179555","Arichika","Pacific Ocean - North East","Canada","British Columbia (Haida Gwaii)","52.4716657746","-131.34128373","0.150202935374","None"
"1297","2108","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Satisfactory","2011","2011","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","Parks Canada","Parks Canada","null","173922","Bischof","Pacific Ocean - North East","Canada","British Columbia (Haida Gwaii)","52.5787454536","-131.56645261","0.468783995144","None"
"1300","2111","Polynesian Rat","Rattus exulans","Rodent","null","Satisfactory","2018","2018","To Be Confirmed","Whole Island","Toxicant","NA","NA","Unknown","NA","Unknown","NA","null","null","null","351945","Motu To'u","Pacific Ocean - South East","Cook Islands","Cook Islands (Suwarrow Atoll)","-13.2730002505","-163.198095503","0.241544823069","None"
"1305","2118","House Mouse","Mus musculus","Rodent","null","Good","2008","2008","Successful","Whole Island","Trapping","Toxicant","NA","Bait Station","Hand Broadcast","Brodifacoum","NA","null","null","null","26886","Te Haupa (Saddle)","Pacific Ocean - South West","New Zealand","Hauraki Gulf","-36.5116953034","174.74771442","0.0851061834485","None"
"1311","2124","Black Rat","Rattus rattus","Rodent","null","Good","2012","2012","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Sposimo; Paolo","null","null","239664","Montecristo","Mediterranean","Italy","Tuscan Islands","42.3322922599","10.30908051","10.4981572453","1 - 10"
"1319","2134","Black Rat","Rattus rattus","Rodent","null","Good","2000","2000","Successful","Whole Island","Trapping","Toxicant","NA","Bait Station","NA","Bromadiolone","NA","Lorvelec; O.","Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu","null","88888124","Lavezzu Islets - 18 total","Mediterranean","France","Lavezzi Archipelago","41.3378900004","9.24453","0.00781416799406","None"
"1320","2135","Black Rat","Rattus rattus","Rodent","null","Good","1999","1999","Unknown pre-status","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Burbidge; A.A.","Department of Conservation and Land Management; Aus","null","332348","Renewal","Indian Ocean - East","Australia","Western Australia (Montebello Islands)","-20.4682879295","115.54726715","0.48309058769","None"
"1321","2136","Black Rat","Rattus rattus","Rodent","null","Satisfactory","2001","2001","Unknown pre-status","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Burbidge; A.A.","Department of Conservation and Land Management; Aus","null","332348","Renewal","Indian Ocean - East","Australia","Western Australia (Montebello Islands)","-20.4682879295","115.54726715","0.48309058769","None"
"1322","2137","Black Rat","Rattus rattus","Rodent","null","Satisfactory","2008","2008","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Hand Broadcast","NA","Brodifacoum","NA","null","null","null","358802","Hiveu","Pacific Ocean - South East","French Polynesia","Tuamotu Archipelago (Rangiroa)","-15.207953596","-147.799469975","0.0497520330849","None"
"1323","2138","Black Rat","Rattus rattus","Rodent","null","Satisfactory","2008","2008","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Hand Broadcast","NA","Brodifacoum","NA","null","null","null","358798","Hiuveru","Pacific Ocean - South East","French Polynesia","Tuamotu Archipelago (Rangiroa)","-15.2076090428","-147.796480802","0.0301488562121","None"
"1325","2141","Black Rat","Rattus rattus","Rodent","null","Good","2011","2011","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Island Conservation","Island Conservation","www.islandconservation.org","356533","Bartolomé","Pacific Ocean - North East","Ecuador","Galapagos Islands","-0.285256053964","-90.549281439","1.25247835553","None"
"1326","2142","Black Rat","Rattus rattus","Rodent","null","Satisfactory","2011","2011","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Island Conservation","Island Conservation","www.islandconservation.org","362220","Roca Beagle Norte","Pacific Ocean - North East","Ecuador","Galapagos Islands","-0.414218723645","-90.6278208664","0.0111154227769","None"
"1327","2144","Black Rat","Rattus rattus","Rodent","null","Satisfactory","2011","2011","Unknown pre-status","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Island Conservation","Island Conservation","www.islandconservation.org","463609","Islote Gran Felipe","Pacific Ocean - North East","Ecuador","Galapagos Islands","-0.291192307329","-90.5540644683","0.000962564460377","None"
"1328","2145","Black Rat","Rattus rattus","Rodent","null","Good","1990","1991","Failed","Whole Island","Toxicant","NA","NA","Bait Station","Other","Brodifacoum","NA","null","null","null","420510","Congo Cay","Caribbean","Virgin Islands U.S.","Lesser Antilles (US Virgin Islands)","18.3676780445","-64.80303422","0.074028238566","None"
"1329","2146","Black Rat","Rattus rattus","Rodent","500","Good","2009","2009","Successful","Whole Island","Trapping","Toxicant","NA","Bait Station","NA","Brodifacoum","NA","null","null","null","240597","Zembrettina","Mediterranean","Tunisia","Zembra Archipelago","37.1063130656","10.8706948","0.00487229539937","None"
"1330","2149","Black Rat","Rattus rattus","Rodent","null","Good","2001","2001","Failed","Whole Island","Trapping","Toxicant","NA","Bait Station","NA","Bromadiolone","NA","Lorvelec; O.","Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu","null","389411","Fajou","Caribbean","Guadeloupe","Lesser Antilles (Guadeloupe Main Islands)","16.3483337299","-61.58689242","1.15723725787","None"
"1331","2150","Black Rat","Rattus rattus","Rodent","null","Good","1999","1999","Successful (Reinvaded)","Whole Island","Trapping","Toxicant","NA","Bait Station","NA","Bromadiolone","NA","Lorvelec; O.","Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu","null","395228","Hardy","Caribbean","Martinique","Lesser Antilles (îlets de Sainte-Anne)","14.4173090676","-60.83158832","0.0249802521508","None"
"1332","2151","Black Rat","Rattus rattus","Rodent","null","Good","2001","2007","Successful","Whole Island","Trapping","Toxicant","NA","Bait Station","NA","Bromadiolone","NA","Lorvelec; O.","Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu","null","395228","Hardy","Caribbean","Martinique","Lesser Antilles (îlets de Sainte-Anne)","14.4173090676","-60.83158832","0.0249802521508","None"
"1333","2152","Black Rat","Rattus rattus","Rodent","null","Good","2001","2001","Failed","Whole Island","Trapping","Toxicant","NA","Bait Station","NA","Bromadiolone","NA","Lorvelec; O.","Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu","null","395260","Burgaux","Caribbean","Martinique","Lesser Antilles (îlets de Sainte-Anne)","14.4125326301","-60.8323028704","0.00609924293715","None"
"1334","2153","Black Rat","Rattus rattus","Rodent","null","Good","2011","2011","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","Hand Broadcast","Brodifacoum","NA","null","null","null","235938","Dragonera","Mediterranean","Spain","Balearic Islands (Mallorca Group)","39.5843818022","2.319859","2.73222143354","None"
"1335","2154","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Good","2011","2011","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","null","null","null","24158","Ulva","Pacific Ocean - South West","New Zealand","Stewart Islands","-46.9323351378","168.13265099","2.61410715738","None"
"1336","2155","Black Rat","Rattus rattus","Rodent","null","Good","2001","2001","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Bait Station","Hand Broadcast","Brodifacoum","NA","null","null","null","386021","Green","Caribbean","Antigua and Barbuda","Lesser Antilles (Antigua and Barbuda Islands)","17.0700229407","-61.66645633","0.469678566287","None"
"1337","2156","Black Rat","Rattus rattus","Rodent","null","Good","2005","2005","Successful","Whole Island","Toxicant","NA","NA","Bait Station","Hand Broadcast","Diphacinone","NA","Lombard; Claudia","USFWS","null","420479","Buck","Caribbean","Virgin Islands U.S.","Lesser Antilles (US Virgin Islands (St. Thomas Islands))","18.277076822","-64.89402929","0.170669620148","None"
"1338","2168","Black Rat","Rattus rattus","Rodent","null","Good","2006","2007","Failed","Whole Island","Trapping","NA","NA","NA","NA","NA","NA","Lombard; Claudia","USFWS","null","390596","Green Cay","Caribbean","Virgin Islands U.S.","Lesser Antilles (US Virgin Islands (St. Croix Islands))","17.7667458207","-64.66576483","0.0448581749922","None"
"1339","2169","Black Rat","Rattus rattus","Rodent","null","Good","2003","2003","Successful (Reinvaded)","Whole Island","Toxicant","Trapping","NA","Bait Station","NA","Brodifacoum","NA","Rocamora; Gérard","Island Conservation Society","http://www.islandconservationseychelles.com/","464134","Anonyme","Indian Ocean - West","Seychelles","Seychelles","-4.66367489997","55.52452998","0.105913367984","Unknown"
"1340","2170","Black Rat","Rattus rattus","Rodent","null","Satisfactory","null","1984","Successful","Whole Island","Toxicant","NA","NA","Hand Broadcast","NA","Diphacinone","NA","Pierce; Judy","USVI Ministry of Environment","null","420569","Stevens Cay","Caribbean","Virgin Islands U.S.","Lesser Antilles (US Virgin Islands)","18.3302188837","-64.80732836","0.0167814838627","None"
"1341","2175","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Good","1994","1994","Successful","Whole Island","Trapping","Toxicant","NA","Bait Station","NA","Bromadiolone","NA","null","null","null","110000506","Les Mottes","Atlantic Ocean - North","France","Sept îles Archipelago","48.8803475676","-3.48743582121","0.00299037944248","None"
"1342","2177","Black Rat","Rattus rattus","Rodent","null","Good","2005","2005","Successful","Whole Island","Toxicant","NA","NA","Bait Station","Hand Broadcast","Brodifacoum","NA","null","null","null","389578","Rat","Caribbean","Saint Lucia","Lesser Antilles (St. Lucia Islands)","14.033692027","-60.98153058","0.0125068789656","None"
"1343","2178","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Good","2005","2005","Successful","Whole Island","Toxicant","NA","NA","Bait Station","Hand Broadcast","Brodifacoum","NA","null","null","null","389580","Dennery","Caribbean","Saint Lucia","Lesser Antilles (St. Lucia Islands)","13.9091726805","-60.88430043","0.0325085834175","None"
